+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                         Ball_specs                                                                                         |
+----------------------+----------------+-------+-----------+-----------+----------------+----------------+---------------+---------------+----------------+----------------+----------------+
|         Ball         |      Mfg       |  Club | Avg Carry | Max Carry | Avg Total Dist | Max Total Dist | Avg Back Spin | Avg Side Spin | Avg Club Speed | Max Club Speed | Max Ball Speed |
| Titlelist ProV1x RCT | PGX One Length |   I6  |   142.0   |   151.0   |     151.0      |     161.0      |     7039.0    |     195.0     |      80.0      |      81.1      |     109.7      |
|  Callaway Hex Soft   |     Cobra      |   I6  |   145.0   |   151.0   |     155.0      |     161.0      |     6969.0    |      93.0     |      82.0      |      84.9      |     109.6      |
|   Maxifli SoftFli    |   Giga Golf    |   GW  |   146.0   |   151.0   |     150.0      |     154.0      |     6456.0    |     358.0     |      77.0      |      78.2      |     107.3      |
|  Callaway Hex Soft   |     Cobra      |   I7  |   129.0   |   144.0   |     135.0      |     152.0      |     8737.0    |     1525.0    |      81.0      |      83.1      |     107.0      |
|  Callaway Hex Soft   | PGX One Length |   I7  |   129.0   |   144.0   |     135.0      |     152.0      |     8737.0    |     1525.0    |      81.0      |      83.1      |     107.0      |
|  Callaway SuperSoft  | PGX One Length |   I8  |   131.0   |   145.0   |     138.0      |     152.0      |     8460.0    |     382.0     |      80.0      |      81.5      |     106.6      |
| Titlelist ProV1 RCT  | PGX One Length |   I8  |   132.0   |   144.0   |     140.0      |     152.0      |     8092.0    |     301.0     |      79.0      |      83.6      |     105.7      |
|      Vice Tour       | PGX One Length |   I7  |   129.0   |   144.0   |     136.0      |     152.0      |     7829.0    |     1525.0    |      79.0      |      80.8      |     105.5      |
|    Callaway Reva     | PGX One Length |   I9  |   127.0   |   140.0   |     133.0      |     146.0      |     8293.0    |     246.0     |      79.0      |      82.7      |     104.7      |
|  Titlelist TruFeel   |     Cobra      |   I8  |   125.0   |   136.0   |     131.0      |     142.0      |     8139.0    |     1268.0    |      78.0      |      80.6      |     104.5      |
| Titlelist ProV1x RCT | PGX One Length |   I7  |   132.0   |   140.0   |     145.0      |     149.0      |     6581.0    |     154.0     |      79.0      |      80.2      |     103.2      |
|   Srixon Softfeel    | PGX One Length |   PW  |   105.0   |   122.0   |     111.0      |     140.0      |     9352.0    |     1884.0    |      78.0      |      82.6      |     103.0      |
| Titlelist ProV1x RCT |   Giga Golf    |   I7  |   129.0   |   141.0   |     144.0      |     153.0      |     6700.0    |     302.0     |      76.0      |      79.7      |     102.3      |
|       Vice Pro       |    One Iron    |   I6  |   135.0   |   139.0   |     146.0      |     151.0      |     6623.0    |     525.0     |      77.0      |      78.5      |     101.6      |
|  Callaway SuperSoft  |     Cobra      |   I9  |   122.0   |   129.0   |     126.0      |     134.0      |     8829.0    |     340.0     |      81.0      |      83.1      |     100.4      |
|  Titlelist TruFeel   | PGX One Length |   I8  |   121.0   |   130.0   |     130.0      |     138.0      |     6944.0    |     223.0     |      75.0      |      78.3      |      99.4      |
|  Callaway Hex Soft   | PGX One Length |   PW  |   106.0   |   126.0   |     113.0      |     136.0      |    10112.0    |     2112.0    |      78.0      |      83.4      |      97.7      |
| Titlelist ProV1x RCT | PGX One Length |   PW  |   105.0   |   119.0   |     109.0      |     124.0      |    10520.0    |     1415.0    |      80.0      |      85.3      |      95.3      |
|       Vice Pro       | PGX One Length |   PW  |   112.0   |   118.0   |     122.0      |     127.0      |     9197.0    |     1060.0    |      80.0      |      80.3      |      93.1      |
|  Callaway SuperSoft  | PGX One Length |   PW  |   106.0   |   115.0   |     110.0      |     120.0      |     9638.0    |     328.0     |      85.0      |     109.8      |      93.0      |
|   Maxifli SoftFli    | PGX One Length |   PW  |   109.0   |   115.0   |     113.0      |     120.0      |     9161.0    |      52.0     |      79.0      |      79.9      |      91.0      |
|   Maxifli SoftFli    | PGX One Length |   GW  |    91.0   |   108.0   |      95.0      |     113.0      |     9488.0    |     1696.0    |      76.0      |      78.8      |      87.2      |
|    Bridgestone e6    | PGX One Length |   GW  |    87.0   |    91.0   |      91.0      |      98.0      |     9822.0    |     2813.0    |      77.0      |      80.6      |      78.6      |
|  Titlelist TruFeel   | PGX One Length |   SW  |    80.0   |    93.0   |      85.0      |     106.0      |     9255.0    |     3654.0    |      76.0      |      91.3      |      77.5      |
+----------------------+----------------+-------+-----------+-----------+----------------+----------------+---------------+---------------+----------------+----------------+----------------+
