+----------+------+------------------+-----------+-----------+----------------+----------------+----------------+----------------+
|   Mfg    | Club |       Ball       | Avg Carry | Max Carry | Avg Total Dist | Max Total Dist | Max Club Speed | Max Ball Speed |
+----------+------+------------------+-----------+-----------+----------------+----------------+----------------+----------------+
| One Iron |  I7  | Bridgestone Lady |   125.0   |   137.0   |     131.0      |     143.0      |      82.4      |     103.0      |
+----------+------+------------------+-----------+-----------+----------------+----------------+----------------+----------------+
