+----------------+----------------------+---------------------+-------+----------------+------------+-----------+-----------+-------+------+--------+-----------------+-------------+---------+---------------+----------------+--------------+------+------------+-------+-----+----------------+--------------+-----+------+--------------+-----+-----+-----+--------------+
|      Mfg       |         Ball         |     PracticeDtTm    | Carry | Total_Distance | Ball_Speed | Back_Spin | Side_Spin |  HLA  | VLA  | Decent | Distance_To_Pin | Peak_Height | Offline | raw_Spin_Axis | raw_Carry_Game | raw_Carry_LM | Club | Club_Speed |  Path | AoA | Face_To_Target | Face_To_Path | Lie | Loft | Dynamic_Loft |  CR |  HI |  VI | Smash_Factor |
| PGX One Length |    Bridgestone e6    | 2023-01-28 16:17:54 | 133.5 |     141.7      |    99.3    |   6483.2  |   342.6   |  -2.6 | 22.5 |  46.6  |     21.34 ft    |     27.2    |   -2.9  |      3.0      |     133.4      |     0.0      |  I7  |    78.1    |  -5.8 | 0.0 |      -2.2      |     -3.5     | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length |    Bridgestone e6    | 2023-01-28 16:17:54 |  60.6 |      85.8      |    93.7    |   1614.6  |   807.3   |  8.4  | 5.5  |  6.8   |    54.38 yds    |     1.6     |   11.6  |      30.0     |      59.2      |     0.0      |  I7  |    77.8    | -13.0 | 0.0 |      12.2      |    -25.2     | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length |    Bridgestone e6    | 2023-01-28 16:17:54 | 126.0 |     132.5      |    97.2    |   7639.6  |   897.7   |  -1.4 | 26.6 |  50.7  |     14.81 ft    |     31.1    |   3.6   |      6.7      |     125.9      |     0.0      |  I7  |    78.2    |  -9.8 | 0.0 |      -0.2      |     -9.6     | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length |    Bridgestone e6    | 2023-01-28 16:17:54 | 124.0 |     130.9      |    94.6    |   7093.9  |   159.9   |  -4.7 | 24.0 |  46.7  |    10.45 yds    |     26.3    |   -8.9  |      1.3      |     123.9      |     0.0      |  I7  |    77.7    |  -6.2 | 0.0 |      -4.8      |     -1.4     | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length |    Bridgestone e6    | 2023-01-28 16:17:54 | 109.0 |     117.0      |    86.0    |   7263.9  |   -133.1  |  -7.9 | 26.0 |  46.8  |    25.73 yds    |     23.2    |  -15.7  |      -1.1     |     109.1      |     0.0      |  I7  |    78.7    |  -6.6 | 0.0 |      -8.6      |     1.9      | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length |    Bridgestone e6    | 2023-01-28 16:17:54 | 107.7 |     115.6      |    85.2    |   7328.7  |   327.9   |  -4.4 | 25.8 |  46.0  |    20.94 yds    |     22.6    |   -6.4  |      2.6      |     107.6      |     0.0      |  I7  |    76.0    |  -7.6 | 0.0 |      -4.2      |     -3.3     | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length |    Bridgestone e6    | 2023-01-28 16:17:54 | 109.4 |     122.7      |    85.5    |   5030.7  |   -735.6  | -10.7 | 21.1 |  38.2  |    33.15 yds    |     17.0    |  -25.4  |      -8.4     |     109.2      |     0.0      |  I7  |    77.7    |  -3.7 | 0.0 |     -12.4      |     8.7      | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length |    Bridgestone e6    | 2023-01-28 16:17:54 | 117.4 |     127.8      |    90.4    |   6349.1  |   992.1   |  -0.9 | 26.5 |  47.4  |     29.71 ft    |     26.0    |   5.5   |      9.0      |     117.4      |     0.0      |  I7  |    75.6    | -10.5 | 0.0 |      0.5       |    -11.0     | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length |    Bridgestone e6    | 2023-01-28 16:17:54 | 117.3 |     125.8      |    91.1    |   6876.1  |   383.1   |  -2.1 | 27.9 |  49.7  |     28.56 ft    |     28.5    |   -1.7  |      3.2      |     117.1      |     0.0      |  I7  |    77.8    |  -5.7 | 0.0 |      -1.7      |     -4.0     | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length |    Bridgestone e6    | 2023-01-28 16:17:54 | 112.3 |     119.6      |    88.3    |   7862.0  |   -499.2  |  -8.5 | 25.1 |  46.1  |    27.24 yds    |     23.8    |  -19.5  |      -3.6     |     112.1      |     0.0      |  I7  |    78.0    |  -3.9 | 0.0 |      -9.8      |     6.0      | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
