+----------------+----------------------+---------------------+-------+----------------+------------+-----------+-----------+-------+------+--------+-----------------+-------------+---------+---------------+----------------+--------------+------+------------+-------+-----+----------------+--------------+-----+------+--------------+-----+-----+-----+--------------+
|      Mfg       |         Ball         |     PracticeDtTm    | Carry | Total_Distance | Ball_Speed | Back_Spin | Side_Spin |  HLA  | VLA  | Decent | Distance_To_Pin | Peak_Height | Offline | raw_Spin_Axis | raw_Carry_Game | raw_Carry_LM | Club | Club_Speed |  Path | AoA | Face_To_Target | Face_To_Path | Lie | Loft | Dynamic_Loft |  CR |  HI |  VI | Smash_Factor |
| PGX One Length |   Maxifli SoftFli    | 2023-01-28 16:42:14 | 145.2 |     152.6      |   106.0    |   6147.1  |   281.1   |  -3.5 | 23.8 |  49.6  |    18.31 yds    |     33.2    |   -5.7  |      2.6      |     145.1      |     0.0      |  I7  |    78.5    |  -6.1 | 0.0 |      -3.3      |     -2.8     | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length |   Maxifli SoftFli    | 2023-01-28 16:42:14 | 136.2 |     144.7      |   101.0    |   6504.4  |   276.9   |  -4.3 | 22.9 |  47.3  |    12.25 yds    |     28.8    |   -7.6  |      2.4      |     136.1      |     0.0      |  I7  |    78.4    |  -6.9 | 0.0 |      -4.2      |     -2.7     | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length |   Maxifli SoftFli    | 2023-01-28 16:42:14 | 118.2 |     131.4      |    90.0    |   5541.0  |   -391.5  |  -9.7 | 21.5 |  41.4  |    26.45 yds    |     20.1    |  -22.8  |      -4.1     |     118.2      |     0.0      |  I7  |    77.5    |  -6.0 | 0.0 |     -10.8      |     4.9      | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length |   Maxifli SoftFli    | 2023-01-28 16:42:14 |  48.7 |      69.3      |    63.7    |   2348.0  |   -128.8  | -10.3 | 12.7 |  15.0  |    68.31 yds    |     3.1     |   -8.9  |      -3.1     |      48.3      |     0.0      |  I7  |    79.1    |  -9.1 | 0.0 |     -11.1      |     2.0      | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length |   Maxifli SoftFli    | 2023-01-28 16:42:14 | 122.9 |     129.2      |    95.4    |   7653.2  |   934.3   |  1.4  | 27.2 |  50.5  |    12.27 yds    |     30.6    |   9.7   |      7.0      |     122.9      |     0.0      |  I7  |    76.8    |  -7.5 | 0.0 |      2.8       |    -10.3     | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length |   Maxifli SoftFli    | 2023-01-28 16:42:14 | 119.6 |     128.6      |    91.9    |   6875.0  |   1012.4  |  0.8  | 24.3 |  46.5  |    12.11 yds    |     24.7    |   8.8   |      8.5      |     119.5      |     0.0      |  I7  |    76.3    |  -8.9 | 0.0 |      2.3       |    -11.2     | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length |   Maxifli SoftFli    | 2023-01-28 16:42:14 | 139.5 |     146.8      |   103.3    |   6530.7  |   644.8   |  -0.3 | 24.1 |  49.7  |    13.13 yds    |     31.9    |   5.7   |      5.7      |     139.4      |     0.0      |  I7  |    78.4    |  -6.3 | 0.0 |      0.6       |     -6.9     | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length |   Maxifli SoftFli    | 2023-01-28 16:42:14 | 139.3 |     147.0      |   103.3    |   6591.7  |   874.8   |  -0.3 | 23.9 |  49.0  |    14.46 yds    |     31.6    |   7.9   |      7.6      |     139.2      |     0.0      |  I7  |    78.7    |  -8.4 | 0.0 |      0.9       |     -9.3     | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length |   Maxifli SoftFli    | 2023-01-28 16:42:14 | 107.6 |     122.0      |    85.2    |   4857.0  |   1209.6  |  4.2  | 20.1 |  35.8  |    24.45 yds    |     15.5    |   16.3  |      14.4     |     107.4      |     0.0      |  I7  |    78.2    |  -7.1 | 0.0 |      6.2       |    -13.3     | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length |   Maxifli SoftFli    | 2023-01-28 16:42:14 |  92.5 |     107.9      |    78.6    |   4478.3  |   -425.3  | -10.6 | 18.3 |  30.2  |     37.5 yds    |     11.1    |  -19.3  |      -5.4     |      92.2      |     0.0      |  I7  |    77.8    |  -6.6 | 0.0 |     -11.9      |     5.3      | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
| PGX One Length |   Maxifli SoftFli    | 2023-01-28 16:42:14 | 144.9 |     153.0      |   106.0    |   6102.6  |    -7.1   |  -6.5 | 24.6 |  50.6  |    24.16 yds    |     34.5    |  -16.4  |      -0.1     |     144.9      |     0.0      |  I7  |    78.2    |  -6.4 | 0.0 |      -6.9      |     0.5      | 0.0 | 0.0  |     0.0      | 0.0 | 0.0 | 0.0 |     0.0      |
+----------------+----------------------+---------------------+-------+----------------+------------+-----------+-----------+-------+------+--------+-----------------+-------------+---------+---------------+----------------+--------------+------+------------+-------+-----+----------------+--------------+-----+------+--------------+-----+-----+-----+--------------+
