Mfg,Ball,PraticeDtTm,Carry,Total Distance,Ball Speed,Back Spin,Side Spin,HLA,VLA,Decent,Distance To Pin,Peak Height,Offline,Raw SpinAxis,Raw Carry Game,Raw Carry LM,Club,Club Speed,Path,AoA,Face To Target,Face To Path,Lie,Loft,Dynamic Loft,CR,HI,VI,Smash Factor
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,128.8,136.4,97.8,7406.6,284.5,-3.4,23.7,47.8,18.18 ft,28,-5.4,2.2,128.8,0,I8,80.1,-6,0,-3.2,-2.8,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,128.2,137.5,95.5,5329.6,-883,-6.5,27.6,49.5,25.32 yds,30.6,-23.1,-9.5,128.1,0,I8,74.7,5.3,0,-8.7,14,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,116.3,123.6,92.1,8091.9,-114.5,-1.8,28.7,51.8,11.46 yds,30.3,-4.3,-0.8,116.2,0,I8,75.6,0,0,0,0,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,132.4,137.9,101.5,7533,-80.5,-2.5,27.1,52.2,23.08 ft,34.9,-6.4,-0.6,132.4,0,I8,80.9,0,0,0,0,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,136.2,144.2,101.1,6291.8,-319.3,-4.5,25.1,49.5,17.48 yds,31.7,-13.7,-2.9,136,0,I8,78.5,-1.2,0,-5.3,4.1,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,126.3,133.3,97,7137.4,-3.4,-2.9,27.4,51.5,20.71 ft,31.9,-6.5,0,126.2,0,I8,80.6,0,0,0,0,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,143.9,151.2,105.7,6040.5,-311.3,-5.3,25.7,51.1,24.03 yds,35.8,-16.7,-3,143.8,0,I8,80.3,-2.2,0,-6.1,3.9,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,128.5,137.9,96.1,6123.1,-183.1,-3.9,25,47.9,11.83 yds,28.3,-10.4,-1.7,128.4,0,I8,78.6,-1.8,0,-4.5,2.7,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,138.3,146.6,102.8,6453.4,162,-4.7,25.3,50.2,16.07 yds,33.2,-9.8,1.4,138.2,0,I8,83.6,-6.4,0,-4.8,-1.6,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,142.5,150.9,105.1,6624.5,301.3,-3.2,23.5,49.2,17.54 yds,32.4,-4.8,2.6,142.4,0,I8,81.2,-6,0,-2.9,-3,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,143.2,151.7,104.5,5979.8,-294.3,-5.1,24,49.1,23.87 yds,32.5,-16,-2.8,143.2,0,I8,80.6,-2.1,0,-5.9,3.8,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,125.2,132.3,96.9,6895.9,-1300.1,1.1,29,52.2,28.12 ft,33.4,-8.3,-10.9,125.1,0,I8,74.9,0,0,0,0,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,128.7,135.1,98.5,7468.6,80.3,-2.1,26.1,50.9,12.94 ft,31.5,-4,0.6,128.6,0,I8,82.3,0,0,0,0,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,124.3,129.9,96.5,7614.9,-348.5,0,27.9,52,15.02 ft,32.4,-2.7,-2.6,124.2,0,I8,78.4,0,0,0,0,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,139.4,148.6,101.6,5739.7,-365,-4.2,22.9,47.5,20.63 yds,29,-14.2,-3.6,139.4,0,I8,75.2,-0.7,0,-5,4.4,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,138.7,146.5,104,6651.3,-68.4,-0.7,26.6,52,12.76 yds,35.9,-2.4,-0.6,138.6,0,I8,80.5,-0.1,0,-0.8,0.8,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 15:59,129.5,139,96,5461.2,-747.2,-3.1,25.9,48,16.23 yds,28.9,-14.2,-7.9,129.4,0,I8,75.7,6.2,0,-4.7,10.9,0,0,0,0,0,0,0
PGX One Length,Callaway SuperSoft,2/26/23 16:08,140.1,148.5,104.2,6835.9,382.1,1,23.9,49.7,15.76 yds,32.3,6,3.2,140,0,I8,80.8,-2.5,0,1.5,-4,0,0,0,0,0,0,0
PGX One Length,Callaway SuperSoft,2/26/23 16:08,131.1,136.6,102.5,7725.3,240.2,-2,29.4,54.4,10.92 ft,38.6,-2.5,1.8,131.1,0,I8,81.4,-4.1,0,-1.8,-2.4,0,0,0,0,0,0,0
PGX One Length,Callaway SuperSoft,2/26/23 16:08,107.5,113.9,85.8,8016.5,-1428.7,-11.1,26.6,47.5,38.49 yds,23.7,-28,-10.3,107.5,0,I8,80.7,1.9,0,-13.7,15.6,0,0,0,0,0,0,0
PGX One Length,Callaway SuperSoft,2/26/23 16:08,123.1,127.5,96.5,8460,-55.8,-4.7,27.3,52,12.83 yds,31.8,-10.4,-0.4,123.1,0,I8,81.5,-4.2,0,-5,0.9,0,0,0,0,0,0,0
PGX One Length,Callaway SuperSoft,2/26/23 16:08,120.2,126.7,94.1,7758.2,-868.6,-2.7,28.1,51.1,14.76 yds,30.8,-11.6,-6.4,120.2,0,I8,75.9,5.7,0,-4.1,9.8,0,0,0,0,0,0,0
PGX One Length,Callaway SuperSoft,2/26/23 16:08,144.8,152.4,106.6,6401.1,-113.6,-3.3,24.6,50.7,20.71 yds,34.9,-9.6,-1,144.7,0,I8,80.1,-2.3,0,-3.7,1.4,0,0,0,0,0,0,0
PGX One Length,Callaway SuperSoft,2/26/23 16:08,142.5,150.3,106,6742.9,-439.7,-3.3,24.9,51.2,20.76 yds,35,-12.7,-3.7,142.4,0,I8,81.3,0.7,0,-4.1,4.8,0,0,0,0,0,0,0
PGX One Length,Callaway SuperSoft,2/26/23 16:08,129.3,136.5,98.2,7448.1,-712.1,-5,23.8,48.7,18.16 yds,28.4,-16.9,-5.5,129.3,0,I8,80.2,1.5,0,-6.4,7.8,0,0,0,0,0,0,0
PGX One Length,Callaway SuperSoft,2/26/23 16:08,138,144.8,103.9,6887.7,-93.2,0.1,26.3,52,10.84 yds,35.5,-0.7,-0.8,137.9,0,I8,80.7,0.9,0,0,1,0,0,0,0,0,0,0
PGX One Length,Callaway SuperSoft,2/26/23 16:08,118,123.6,93.3,8375.2,-1230.2,-4.8,27.8,51.5,22.09 yds,30,-17.5,-8.4,117.9,0,I8,77.9,6.8,0,-6.9,13.6,0,0,0,0,0,0,0
PGX One Length,Callaway SuperSoft,2/26/23 16:08,106.4,116.5,93.4,2884.6,1442.3,11.8,12.6,21.2,45.92 yds,8.3,34.5,30,106.1,0,I8,81.3,-5.7,0,15,-20.7,0,0,0,0,0,0,0
PGX One Length,Callaway SuperSoft,2/26/23 16:08,127.4,134.2,98.2,7822.9,134.8,-2.2,26.2,51.2,12.32 ft,31.5,-3.9,1,127.4,0,I8,80.6,-3.4,0,-2.2,-1.3,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 20:54,149.2,159.8,107.3,5780.9,829.1,5.9,20.1,45.6,36.09 yds,28.4,25.1,8.2,149.2,0,I4,84.2,-2.1,0,7.5,-9.7,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 20:54,152.5,166.5,107,4679.3,649.9,3.9,19.2,43.4,27.11 yds,26.3,19.5,8,152.4,0,I4,81.1,-3.5,0,5.3,-8.8,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 20:54,150.2,161.5,108.6,5943.1,1352,4.3,20.9,46.9,37.59 yds,30.1,27.3,13.1,150.1,0,I4,78.4,-7.9,0,6.5,-14.4,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 20:54,158.3,169.4,113.6,6078.7,1340.4,3.1,17.8,45,31.43 yds,28.5,25.5,12.7,158.1,0,I4,83.5,-6.8,0,4.8,-11.6,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 20:54,163.6,176.8,114.2,5235.5,565.3,1,18.7,45.8,13.66 yds,30.3,11.4,6.2,163.6,0,I4,83.9,-4,0,1.9,-5.9,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 20:54,164.1,181.2,112.5,4213.9,-95.2,-3,16.1,40.4,11.46 yds,24.5,-10.2,-1.3,163.9,0,I4,82.7,-2.1,0,-3.3,1.2,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 20:54,157.3,173,108.5,4285.8,317.5,1.4,19.5,43.4,13.04 yds,27.4,8.9,4.2,157.3,0,I4,84.8,-2.5,0,2.1,-4.6,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 20:54,153.6,166.8,109.8,5722.9,906.6,1.8,18.3,44.5,23.56 yds,27.1,16,9.1,153.5,0,I4,85.1,-5.8,0,3,-8.8,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 20:54,152.3,168.1,105.6,4121.4,229.5,-1,19.3,42,12.84 yds,25.4,0.8,3.2,152.3,0,I4,79.3,-3.9,0,-0.6,-3.3,0,0,0,0,0,0,0
PGX One Length,Titlelist ProV1 RCT,2/26/23 20:54,168.3,186.3,111.3,3178.6,-163.7,-3.6,19.5,41.8,16.72 yds,27.9,-14.2,-3,168.2,0,I4,83.4,-1,0,-4.3,3.3,0,0,0,0,0,0,0
One Iron,Callaway Hex Soft,1/28/23 9:53,101.3,110.9,81.2,6406.4,688,0,28.5,46.9,28.21 yds,22.5,3.9,6.2,101.1,0,I7,67.3,-7.5,0,1.2,-8.6,0,0,0,0,0,0,0
One Iron,Callaway Hex Soft,1/28/23 9:53,73,84.5,67.2,6090.5,2377.5,13.6,24,35.4,65.6 yds,11,23.8,23,72.8,0,I7,73.7,-10,0,15,-25,0,0,0,0,0,0,0
One Iron,Callaway Hex Soft,1/28/23 9:53,46.1,66.6,68.4,3740.9,459.8,-1.4,8.4,11.2,71.97 yds,2,-0.4,7.1,45.6,0,I7,74.5,-5.9,0,-0.8,-5.1,0,0,0,0,0,0,0
One Iron,Callaway Hex Soft,1/28/23 9:53,126.8,135,95.8,6561,558.2,-2.1,25.1,48.3,10.82 ft,28.2,-0.1,4.9,126.6,0,I7,74.9,-7.6,0,-1.4,-6.1,0,0,0,0,0,0,0
One Iron,Callaway Hex Soft,1/28/23 9:53,95.7,107.3,77.9,5996,-113.7,-6.4,25.1,41.4,34.39 yds,17.4,-11.1,-1.1,95.6,0,I7,75.7,-5.3,0,-6.9,1.7,0,0,0,0,0,0,0
One Iron,Callaway Hex Soft,1/28/23 9:53,96.6,109.5,78.8,5615.1,1076.4,6.1,23.5,39.5,36.04 yds,16.1,15.9,11.1,96.4,0,I7,75.7,-4.3,0,8.1,-12.4,0,0,0,0,0,0,0
One Iron,Callaway Hex Soft,1/28/23 9:53,128.3,136.5,96.9,7005.7,478,-2.7,21.9,45.4,9.29 ft,25,-2.3,3.9,128.3,0,I7,80.4,-7.1,0,-2.2,-4.8,0,0,0,0,0,0,0
One Iron,Callaway Hex Soft,1/28/23 9:53,85.3,108.8,102.5,2515,381.5,-1.5,3.3,7.5,29.79 yds,2.1,-0.2,8.7,76.2,0,I7,78.4,-5,0,-1,-4,0,0,0,0,0,0,0
One Iron,Callaway Hex Soft,1/28/23 9:53,123.9,136.8,92.6,4804.9,446,-2.2,20,38.5,5.57 ft,19.4,-0.5,5.3,123.9,0,I7,80.8,-6.2,0,-1.7,-4.5,0,0,0,0,0,0,0
One Iron,Callaway Hex Soft,1/28/23 9:53,130.2,137,99.1,7234.4,427.4,-0.7,25.8,50.6,8.12 ft,31.5,1.9,3.4,130.2,0,I7,78.1,-4.7,0,-0.2,-4.6,0,0,0,0,0,0,0
One Iron,Titlelist ProV1x RCT,1/28/23 10:06,131.7,141.1,97.9,6210.3,196,-4.6,20.9,43.4,28.82 ft,24.1,-8.8,1.8,131.5,0,I7,76.2,-6.4,0,-4.6,-1.7,0,0,0,0,0,0,0
One Iron,Titlelist ProV1x RCT,1/28/23 10:06,122.5,130.8,93.9,7310.5,0,-1.4,20.1,42.7,25.45 ft,21.3,-2.9,0,122.3,0,I7,78.4,0,0,0,0,0,0,0,0,0,0,0
One Iron,Titlelist ProV1x RCT,1/28/23 10:06,115.4,121.4,91.2,7855.3,83.6,2.4,28.6,51.1,18.24 yds,29.6,5.4,0.6,115.4,0,I7,75.5,0,0,0,0,0,0,0,0,0,0,0
One Iron,Titlelist ProV1x RCT,1/28/23 10:06,96.9,113.7,100.1,6864.9,2175.6,2.5,3.8,12.4,31.08 yds,3.6,12.7,18.5,95.2,0,I7,79.1,-5.9,0,3.9,-9.8,0,0,0,0,0,0,0
One Iron,Titlelist ProV1x RCT,1/28/23 10:06,124,131,94.6,7155.3,228.6,-1,23.2,46.4,22.97 ft,25.3,-0.6,1.8,123.9,0,I7,78.4,-3.2,0,-0.8,-2.4,0,0,0,0,0,0,0
One Iron,Titlelist ProV1x RCT,1/28/23 10:06,119.2,126.2,92.9,7577,-788.2,1.6,27.3,50.2,12.72 yds,29.1,-2.1,-6,119.1,0,I7,80.3,0,0,0,0,0,0,0,0,0,0,0
One Iron,Titlelist ProV1x RCT,1/28/23 10:06,118.1,123.2,93.3,8794.3,604.4,1,26.8,50.4,16.73 yds,29.1,5.8,3.9,118.1,0,I7,73.1,0,0,0,0,0,0,0,0,0,0,0
One Iron,Titlelist ProV1x RCT,1/28/23 10:06,97.2,103.6,81.7,8370.6,3528.3,8.9,21,38.2,51.01 yds,15.1,29,24.9,97.1,0,I7,78.8,0,0,0,0,0,0,0,0,0,0,0
One Iron,Titlelist ProV1x RCT,1/28/23 10:06,115.9,121,91,7901.2,-748.5,1.7,26.9,49.8,17.71 yds,27.5,-1.3,-5.4,115.9,0,I7,78.9,0,0,0,0,0,0,0,0,0,0,0
One Iron,Titlelist ProV1x RCT,1/28/23 10:06,131.7,141.1,97.9,6210.3,196,-4.6,20.9,43.4,28.82 ft,24.1,-8.8,1.8,131.5,0,I7,76.2,-6.4,0,-4.6,-1.7,0,0,0,0,0,0,0
One Iron,Titlelist ProV1x RCT,1/28/23 10:06,122.5,130.8,93.9,7310.5,0,-1.4,20.1,42.7,25.45 ft,21.3,-2.9,0,122.3,0,I7,78.4,0,0,0,0,0,0,0,0,0,0,0
One Iron,Titlelist ProV1x RCT,1/28/23 10:06,115.4,121.4,91.2,7855.3,83.6,2.4,28.6,51.1,18.24 yds,29.6,5.4,0.6,115.4,0,I7,75.5,0,0,0,0,0,0,0,0,0,0,0
One Iron,Titlelist ProV1x RCT,1/28/23 10:06,96.9,113.7,100.1,6864.9,2175.6,2.5,3.8,12.4,31.08 yds,3.6,12.7,18.5,95.2,0,I7,79.1,-5.9,0,3.9,-9.8,0,0,0,0,0,0,0
One Iron,Titlelist ProV1x RCT,1/28/23 10:06,124,131,94.6,7155.3,228.6,-1,23.2,46.4,22.97 ft,25.3,-0.6,1.8,123.9,0,I7,78.4,-3.2,0,-0.8,-2.4,0,0,0,0,0,0,0
One Iron,Titlelist ProV1x RCT,1/28/23 10:06,119.2,126.2,92.9,7577,-788.2,1.6,27.3,50.2,12.72 yds,29.1,-2.1,-6,119.1,0,I7,80.3,0,0,0,0,0,0,0,0,0,0,0
One Iron,Titlelist ProV1x RCT,1/28/23 10:06,118.1,123.2,93.3,8794.3,604.4,1,26.8,50.4,16.73 yds,29.1,5.8,3.9,118.1,0,I7,73.1,0,0,0,0,0,0,0,0,0,0,0
One Iron,Titlelist ProV1x RCT,1/28/23 10:06,97.2,103.6,81.7,8370.6,3528.3,8.9,21,38.2,51.01 yds,15.1,29,24.9,97.1,0,I7,78.8,0,0,0,0,0,0,0,0,0,0,0
One Iron,Titlelist ProV1x RCT,1/28/23 10:06,115.9,121,91,7901.2,-748.5,1.7,26.9,49.8,17.71 yds,27.5,-1.3,-5.4,115.9,0,I7,78.9,0,0,0,0,0,0,0,0,0,0,0
One Iron,Callaway Hex Tour,1/28/23 11:55,98.7,111.2,79.6,5843.8,553.6,0.7,24.7,41.8,24.65 yds,17.8,4.2,5.4,98.6,0,I7,73.3,-4.8,0,1.6,-6.4,0,0,0,0,0,0,0
One Iron,Callaway Hex Tour,1/28/23 11:55,119.6,128.8,91.1,6167,490.3,-0.3,24,45.3,22.08 ft,23.8,3.1,4.6,119.6,0,I7,77.2,-5,0,0.4,-5.3,0,0,0,0,0,0,0
One Iron,Callaway Hex Tour,1/28/23 11:55,34.9,58.3,81,1881.5,940.7,9,2,4.3,78.93 yds,0.6,3.1,30,18,0,I7,79.8,-1.8,0,11.2,-13,0,0,0,0,0,0,0
One Iron,Callaway Hex Tour,1/28/23 11:55,72.8,86.8,67.9,5066.3,-51.6,0,20.6,30.7,48.33 yds,9.2,-0.1,-0.6,72.6,0,I7,79.2,0.5,0,0,0.5,0,0,0,0,0,0,0
One Iron,Callaway Hex Tour,1/28/23 11:55,104.6,112.6,83.6,7489,1018.7,5.6,26.8,47,29.26 yds,22.6,15.5,7.8,104.7,0,I7,77.5,-4.1,0,7.4,-11.4,0,0,0,0,0,0,0
One Iron,Callaway Hex Tour,1/28/23 11:55,84,90.3,73.2,6091.1,2505.2,16.3,23.7,36.5,63.11 yds,13.2,32.5,24.3,83.9,0,I7,78.5,-7.1,0,15,-22.1,0,0,0,0,0,0,0
One Iron,Callaway Hex Tour,1/28/23 11:55,123.2,131.2,93.4,6223.5,597.1,0.3,26,48.1,22.09 ft,27.6,5.5,5.5,123.1,0,I7,77.3,-5.4,0,1.2,-6.5,0,0,0,0,0,0,0
One Iron,Callaway Hex Tour,1/28/23 11:55,110.9,123.6,85.6,5383.7,453.5,-1.1,24.8,43.8,11.71 yds,21.2,1.1,4.8,110.7,0,I7,78.3,-5.4,0,-0.6,-4.8,0,0,0,0,0,0,0
One Iron,Callaway Hex Tour,1/28/23 11:55,94.1,101.6,78.1,6901.6,2254.9,10.3,31.7,48.7,48.37 yds,23.1,27.1,19.1,94,0,I7,80,-10.3,0,14.1,-24.4,0,0,0,0,0,0,0
One Iron,Maxifli SoftFli,1/28/23 12:02,117.6,127,90.5,6545.7,513.6,0.4,26,47.2,28.95 ft,25.8,4.4,4.5,117.5,0,I7,77.8,-4.5,0,1.1,-5.6,0,0,0,0,0,0,0
One Iron,Maxifli SoftFli,1/28/23 12:02,110.9,122.2,86,5893.2,211.2,-4.4,25.5,45.1,15.33 yds,22.3,-7.2,2.1,110.8,0,I7,78,-6.4,0,-4.4,-2,0,0,0,0,0,0,0
One Iron,Maxifli SoftFli,1/28/23 12:02,122.3,132.8,91.7,5432,59.3,-3.9,23.4,43.4,26.56 ft,23.3,-7.8,0.6,122.1,0,I7,78.3,-4.5,0,-4.1,-0.4,0,0,0,0,0,0,0
One Iron,Maxifli SoftFli,1/28/23 12:02,82,104.1,92.2,3316.1,494.2,2.6,5.9,9.8,32.54 yds,3,6.1,8.6,81.2,0,I7,77.5,-2,0,3.5,-5.5,0,0,0,0,0,0,0
One Iron,Maxifli SoftFli,1/28/23 12:02,90,97.3,78,4722.4,2333.5,14.3,20.4,32.5,58.46 yds,11.8,33.4,29.6,89.8,0,I7,74.5,-8.6,0,15,-23.6,0,0,0,0,0,0,0
One Iron,Maxifli SoftFli,1/28/23 12:02,109.6,119,86,6571.2,628.2,1,27.4,47.1,17.66 yds,24.5,5.9,5.5,109.6,0,I7,70.8,-5.5,0,2.1,-7.5,0,0,0,0,0,0,0
One Iron,Maxifli SoftFli,1/28/23 12:02,101.7,113.3,81,5619.5,-1080.1,-5.6,26.1,42.8,30.08 yds,19.8,-16.4,-11.1,101.7,0,I7,65.1,6.5,0,-7.8,14.4,0,0,0,0,0,0,0
One Iron,Maxifli SoftFli,1/28/23 12:02,125.8,134.7,95,6593.8,526.5,-0.5,22.2,44.8,10.98 ft,24.1,3.2,4.6,125.7,0,I7,77.7,-5.4,0,0.2,-5.7,0,0,0,0,0,0,0
One Iron,Maxifli SoftFli,1/28/23 12:02,147.6,160.1,105.1,5210,-111.2,-7.1,20.6,44.7,31.67 yds,27.7,-19.5,-1.2,147.5,0,I7,75.4,-6,0,-7.7,1.7,0,0,0,0,0,0,0
One Iron,Maxifli SoftFli,1/28/23 12:02,119,131,88.7,4302.4,125.8,-3.1,23.8,41.5,21.07 ft,21.5,-5.2,1.7,118.9,0,I7,78.1,-4.2,0,-3.1,-1.2,0,0,0,0,0,0,0
One Iron,Maxifli SoftFli,1/28/23 12:02,94.1,106.4,77.3,6065.9,326.9,-2,24.2,40.2,28.85 yds,16.3,-1.7,3.1,93.9,0,I7,75.3,-5.2,0,-1.6,-3.5,0,0,0,0,0,0,0
One Iron,Maxifli SoftFli,1/28/23 12:02,122.5,132.8,92.4,5796.5,673.8,-0.1,22.3,43.2,19.67 ft,22.4,5.2,6.7,122.5,0,I7,75.7,-6.7,0,0.8,-7.5,0,0,0,0,0,0,0
One Iron,Maxifli SoftFli,1/28/23 12:02,122.9,130.6,93.7,6760.5,18.6,-2,25.1,48,19.09 ft,27,-4.1,0.2,122.9,0,I7,68.6,-2.2,0,-2.1,-0.1,0,0,0,0,0,0,0
One Iron,Callaway Hex Tour,1/28/23 12:08,117.6,127,90.5,6545.7,513.6,0.4,26,47.2,28.95 ft,25.8,4.4,4.5,117.5,0,I7,77.8,-4.5,0,1.1,-5.6,0,0,0,0,0,0,0
One Iron,Callaway Hex Tour,1/28/23 12:08,110.9,122.2,86,5893.2,211.2,-4.4,25.5,45.1,15.33 yds,22.3,-7.2,2.1,110.8,0,I7,78,-6.4,0,-4.4,-2,0,0,0,0,0,0,0
One Iron,Callaway Hex Tour,1/28/23 12:08,122.3,132.8,91.7,5432,59.3,-3.9,23.4,43.4,26.56 ft,23.3,-7.8,0.6,122.1,0,I7,78.3,-4.5,0,-4.1,-0.4,0,0,0,0,0,0,0
One Iron,Callaway Hex Tour,1/28/23 12:08,82,104.1,92.2,3316.1,494.2,2.6,5.9,9.8,32.54 yds,3,6.1,8.6,81.2,0,I7,77.5,-2,0,3.5,-5.5,0,0,0,0,0,0,0
One Iron,Callaway Hex Tour,1/28/23 12:08,90,97.3,78,4722.4,2333.5,14.3,20.4,32.5,58.46 yds,11.8,33.4,29.6,89.8,0,I7,74.5,-8.6,0,15,-23.6,0,0,0,0,0,0,0
One Iron,Callaway Hex Tour,1/28/23 12:08,109.6,119,86,6571.2,628.2,1,27.4,47.1,17.66 yds,24.5,5.9,5.5,109.6,0,I7,70.8,-5.5,0,2.1,-7.5,0,0,0,0,0,0,0
One Iron,Callaway Hex Tour,1/28/23 12:08,101.7,113.3,81,5619.5,-1080.1,-5.6,26.1,42.8,30.08 yds,19.8,-16.4,-11.1,101.7,0,I7,65.1,6.5,0,-7.8,14.4,0,0,0,0,0,0,0
One Iron,Callaway Hex Tour,1/28/23 12:08,125.8,134.7,95,6593.8,526.5,-0.5,22.2,44.8,10.98 ft,24.1,3.2,4.6,125.7,0,I7,77.7,-5.4,0,0.2,-5.7,0,0,0,0,0,0,0
One Iron,Callaway Hex Tour,1/28/23 12:08,147.6,160.1,105.1,5210,-111.2,-7.1,20.6,44.7,31.67 yds,27.7,-19.5,-1.2,147.5,0,I7,75.4,-6,0,-7.7,1.7,0,0,0,0,0,0,0
One Iron,Callaway Hex Tour,1/28/23 12:08,119,131,88.7,4302.4,125.8,-3.1,23.8,41.5,21.07 ft,21.5,-5.2,1.7,118.9,0,I7,78.1,-4.2,0,-3.1,-1.2,0,0,0,0,0,0,0
One Iron,Callaway Hex Tour,1/28/23 12:08,94.1,106.4,77.3,6065.9,326.9,-2,24.2,40.2,28.85 yds,16.3,-1.7,3.1,93.9,0,I7,75.3,-5.2,0,-1.6,-3.5,0,0,0,0,0,0,0
One Iron,Callaway Hex Tour,1/28/23 12:08,122.5,132.8,92.4,5796.5,673.8,-0.1,22.3,43.2,19.67 ft,22.4,5.2,6.7,122.5,0,I7,75.7,-6.7,0,0.8,-7.5,0,0,0,0,0,0,0
One Iron,Callaway Hex Tour,1/28/23 12:08,122.9,130.6,93.7,6760.5,18.6,-2,25.1,48,19.09 ft,27,-4.1,0.2,122.9,0,I7,68.6,-2.2,0,-2.1,-0.1,0,0,0,0,0,0,0
One Iron,Callaway Hex Tour,1/28/23 12:08,130,136.9,98.3,7243.5,382.2,-1.5,23.2,47.5,5.3 ft,27.7,-0.3,3,129.9,0,I7,80.1,-5,0,-1,-3.9,0,0,0,0,0,0,0
One Iron,Callaway Hex Tour,1/28/23 12:08,115.4,129.5,87.3,4435.3,285.5,-2.1,22.7,40.8,17.72 ft,19.6,-1.7,3.7,115.4,0,I7,75.8,-4.9,0,-1.8,-3,0,0,0,0,0,0,0
One Iron,Callaway Hex Tour,1/28/23 12:08,88.6,101.4,74.6,5847.9,50.6,-2.6,23.4,37.3,34.15 yds,14.3,-3.8,0.5,88.4,0,I7,79.9,-3.1,0,-2.7,-0.4,0,0,0,0,0,0,0
One Iron,Callaway Hex Tour,1/28/23 12:08,113.1,128.1,87.6,5026,564.2,-0.1,19.8,37,26.37 ft,16.7,4.1,6.4,113,0,I7,78.4,-5.4,0,0.7,-6.1,0,0,0,0,0,0,0
One Iron,Callaway SuperSoft,1/28/23 14:11,45.5,56.8,51.7,4828.7,-364.3,-4.3,23.9,28.6,93.99 yds,6,-3.9,-4.3,45.3,0,I7,51.9,0.8,0,-5.4,6.2,0,0,0,0,0,0,0
One Iron,Callaway SuperSoft,1/28/23 14:11,76.2,86.1,68.6,7214,-267.2,-1.4,22.5,35,49.19 yds,11.2,-2.6,-2.1,76,0,I7,70.6,1.4,0,-1.9,3.3,0,0,0,0,0,0,0
One Iron,Callaway SuperSoft,1/28/23 14:11,111,122,85.2,4878.5,747,0.4,27,45.4,15.56 yds,23,6.7,8.8,110.9,0,I7,70.9,-7.3,0,1.6,-8.9,0,0,0,0,0,0,0
One Iron,Callaway SuperSoft,1/28/23 14:11,93,101.4,76.8,7414.3,1021.9,4.4,27.5,44.2,36.84 yds,19.2,11.4,7.9,92.8,0,I7,72.2,-5.9,0,6.3,-12.2,0,0,0,0,0,0,0
One Iron,Callaway SuperSoft,1/28/23 14:11,122.9,130.3,93.3,6487,49.1,-2.8,25,47,23.44 ft,26.5,-5.7,0.4,122.8,0,I7,73.4,-3.3,0,-2.9,-0.4,0,0,0,0,0,0,0
One Iron,Callaway SuperSoft,1/28/23 14:11,88.8,98.9,78.7,4591.7,1972.4,12.3,17.8,28.8,53.06 yds,10,28.4,25.4,88.6,0,I7,75.6,-6.8,0,15,-21.8,0,0,0,0,0,0,0
One Iron,Callaway SuperSoft,1/28/23 14:11,84.3,96.4,72.2,5982.7,-159.6,-4.5,24.4,37.4,39.98 yds,14,-7.3,-1.5,84.3,0,I7,74.2,-2.9,0,-5,2.1,0,0,0,0,0,0,0
One Iron,Callaway SuperSoft,1/28/23 14:11,135.6,143.8,100.4,6105.8,353.6,-1.7,25,49.5,26 ft,31.1,-0.4,3.3,135.6,0,I7,74.8,-5.1,0,-1.2,-3.9,0,0,0,0,0,0,0
One Iron,Callaway SuperSoft,1/28/23 14:11,97.2,119.9,100.4,2762.6,946,1.7,6.3,11.1,21.15 yds,3.8,9.8,20,96.6,0,I7,76.5,-7.4,0,3.2,-10.5,0,0,0,0,0,0,0
