Mfg,Ball,PracticeDtTm,Carry,Total_Distance,Ball_Speed,Back_Spin,Side_Spin,HLA,VLA,Decent,Distance_To_Pin,Peak_Height,Offline,raw_Spin_Axis,raw_Carry_Game,raw_Carry_LM,Club,Club_Speed,Path,AoA,Face_To_Target,Face_To_Path,Lie,Loft,Dynamic_Loft,CR,HI,VI,Smash_Factor
PGX One Length,Vice Tour,2023-01-28 19:59:42,116.2,137.0,98.6,3591.7,1293.2,4.8,10.3,20.7,27.49 yds,8.4,21.5,21.1,115.8,0.0,I7,78.1,-7.3,0.0,6.9,-14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Vice Tour,2023-01-28 19:59:42,113.5,120.0,89.8,8446.9,-265.7,-5.8,26.4,49.2,21.04 yds,26.3,-12.9,-1.8,113.4,0.0,I7,74.2,-3.2,0.0,-6.5,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Vice Tour,2023-01-28 19:59:42,81.0,89.5,69.8,5808.0,-1384.3,-17.1,29.5,42.8,60.95 yds,16.4,-28.8,-13.8,80.9,0.0,I7,76.0,-3.8,0.0,-15.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Vice Tour,2023-01-28 19:59:42,143.7,151.7,105.5,6265.4,332.1,-4.5,24.4,50.0,18.18 yds,33.8,-7.6,3.0,143.6,0.0,I7,78.7,-7.6,0.0,-4.3,-3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Vice Tour,2023-01-28 19:59:42,112.7,120.3,88.6,8001.0,-720.5,-5.8,24.3,45.9,23.21 yds,23.2,-15.5,-5.2,112.6,0.0,I7,75.3,1.2,0.0,-7.2,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Vice Tour,2023-01-28 19:59:42,76.4,80.7,69.4,6846.5,216.3,-6.6,39.4,54.3,55.52 yds,23.9,-8.1,1.8,76.4,0.0,I7,77.2,-8.6,0.0,-6.7,-1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Vice Tour,2023-01-28 19:59:42,134.3,141.6,100.3,6755.6,391.3,-3.3,23.6,48.6,23.21 ft,29.4,-4.3,3.3,134.3,0.0,I7,78.4,-7.0,0.0,-3.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Vice Tour,2023-01-28 19:59:42,114.2,122.9,89.1,6708.4,-598.6,0.0,28.0,49.3,13.13 yds,27.2,-4.0,-5.1,114.2,0.0,I7,70.3,6.3,0.0,-0.9,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Vice Tour,2023-01-28 19:59:42,121.7,131.3,91.7,5769.0,115.1,-3.7,23.3,44.6,25.61 ft,23.3,-7.0,1.1,121.5,0.0,I7,80.8,-4.8,0.0,-3.8,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Vice Tour,2023-01-28 19:59:42,119.4,132.0,91.6,6526.4,164.0,-5.9,20.6,41.1,12.71 yds,20.4,-11.1,1.4,119.3,0.0,I7,80.4,-7.4,0.0,-6.0,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Vice Tour,2023-01-28 19:59:42,133.0,139.7,100.4,7060.0,925.9,-0.5,24.9,50.1,26.29 ft,31.1,7.0,7.5,132.9,0.0,I7,78.6,-9.1,0.0,0.8,-9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Vice Tour,2023-01-28 19:59:42,122.2,129.4,94.3,7828.9,-354.1,-6.8,24.7,48.2,19.25 yds,27.1,-16.8,-2.6,122.1,0.0,I7,79.6,-3.5,0.0,-7.7,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Vice Tour,2023-01-28 19:59:42,120.2,126.1,92.9,7690.3,663.9,-0.3,23.9,46.4,29.95 ft,25.2,3.7,5.0,120.2,0.0,I7,78.8,-6.5,0.0,0.6,-7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Vice Tour,2023-01-28 19:59:42,124.8,133.0,96.3,5700.3,1524.6,9.8,16.1,35.1,37.24 yds,16.3,33.6,15.5,124.7,0.0,I7,80.6,-4.0,0.0,12.6,-16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Vice Tour,2023-01-28 19:59:42,60.6,74.0,69.0,4235.0,-1878.7,-21.5,13.7,18.3,76.5 yds,4.5,-26.3,-26.3,60.3,0.0,I7,75.3,-3.3,0.0,-15.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Vice Tour,2023-01-28 19:59:42,92.8,95.8,80.7,10116.6,-317.6,-7.0,34.3,54.3,42.25 yds,28.2,-12.5,-1.8,92.8,0.0,I7,78.9,-4.1,0.0,-7.9,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Vice Tour,2023-01-28 19:59:42,118.0,140.2,99.9,3231.9,779.2,-1.6,9.4,19.6,25.54 ft,7.7,4.7,14.0,117.7,0.0,I7,78.6,-8.8,0.0,-0.6,-8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Vice Tour,2023-01-28 19:59:42,81.7,87.4,71.3,7963.7,1007.4,5.8,34.5,50.1,50.21 yds,21.7,11.5,7.3,81.6,0.0,I7,78.4,-3.6,0.0,7.6,-11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Vice Tour,2023-01-28 19:59:42,80.6,84.2,70.6,8129.3,-1673.6,-18.1,33.4,49.1,65.2 yds,20.3,-30.0,-11.9,80.5,0.0,I7,77.9,-2.4,0.0,-15.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Vice Tour,2023-01-28 19:59:42,71.4,76.5,65.0,6272.6,-1483.6,-21.3,36.2,48.7,73.4 yds,18.5,-30.0,-13.7,71.3,0.0,I7,75.5,-7.0,0.0,-15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Vice Tour,2023-01-28 19:59:42,49.2,69.4,64.7,3063.4,1429.4,-4.2,12.6,15.3,65.79 yds,3.2,-0.8,27.8,48.8,0.0,I7,80.4,-15.0,0.0,-2.5,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cobra,Callaway Hex Soft,2023-01-28 20:07:57,116.2,137.0,98.6,3591.7,1293.2,4.8,10.3,20.7,27.49 yds,8.4,21.5,21.1,115.8,0.0,I7,78.1,-7.3,0.0,6.9,-14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cobra,Callaway Hex Soft,2023-01-28 20:07:57,113.5,120.0,89.8,8446.9,-265.7,-5.8,26.4,49.2,21.04 yds,26.3,-12.9,-1.8,113.4,0.0,I7,74.2,-3.2,0.0,-6.5,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cobra,Callaway Hex Soft,2023-01-28 20:07:57,81.0,89.5,69.8,5808.0,-1384.3,-17.1,29.5,42.8,60.95 yds,16.4,-28.8,-13.8,80.9,0.0,I7,76.0,-3.8,0.0,-15.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cobra,Callaway Hex Soft,2023-01-28 20:07:57,143.7,151.7,105.5,6265.4,332.1,-4.5,24.4,50.0,18.18 yds,33.8,-7.6,3.0,143.6,0.0,I7,78.7,-7.6,0.0,-4.3,-3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cobra,Callaway Hex Soft,2023-01-28 20:07:57,112.7,120.3,88.6,8001.0,-720.5,-5.8,24.3,45.9,23.21 yds,23.2,-15.5,-5.2,112.6,0.0,I7,75.3,1.2,0.0,-7.2,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cobra,Callaway Hex Soft,2023-01-28 20:07:57,76.4,80.7,69.4,6846.5,216.3,-6.6,39.4,54.3,55.52 yds,23.9,-8.1,1.8,76.4,0.0,I7,77.2,-8.6,0.0,-6.7,-1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cobra,Callaway Hex Soft,2023-01-28 20:07:57,134.3,141.6,100.3,6755.6,391.3,-3.3,23.6,48.6,23.21 ft,29.4,-4.3,3.3,134.3,0.0,I7,78.4,-7.0,0.0,-3.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cobra,Callaway Hex Soft,2023-01-28 20:07:57,114.2,122.9,89.1,6708.4,-598.6,0.0,28.0,49.3,13.13 yds,27.2,-4.0,-5.1,114.2,0.0,I7,70.3,6.3,0.0,-0.9,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cobra,Callaway Hex Soft,2023-01-28 20:07:57,121.7,131.3,91.7,5769.0,115.1,-3.7,23.3,44.6,25.61 ft,23.3,-7.0,1.1,121.5,0.0,I7,80.8,-4.8,0.0,-3.8,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cobra,Callaway Hex Soft,2023-01-28 20:07:57,119.4,132.0,91.6,6526.4,164.0,-5.9,20.6,41.1,12.71 yds,20.4,-11.1,1.4,119.3,0.0,I7,80.4,-7.4,0.0,-6.0,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cobra,Callaway Hex Soft,2023-01-28 20:07:57,133.0,139.7,100.4,7060.0,925.9,-0.5,24.9,50.1,26.29 ft,31.1,7.0,7.5,132.9,0.0,I7,78.6,-9.1,0.0,0.8,-9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cobra,Callaway Hex Soft,2023-01-28 20:07:57,122.2,129.4,94.3,7828.9,-354.1,-6.8,24.7,48.2,19.25 yds,27.1,-16.8,-2.6,122.1,0.0,I7,79.6,-3.5,0.0,-7.7,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cobra,Callaway Hex Soft,2023-01-28 20:07:57,120.2,126.1,92.9,7690.3,663.9,-0.3,23.9,46.4,29.95 ft,25.2,3.7,5.0,120.2,0.0,I7,78.8,-6.5,0.0,0.6,-7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
