Mfg,Ball,PracticeDtTm,Carry,Total_Distance,Ball_Speed,Back_Spin,Side_Spin,HLA,VLA,Decent,Distance_To_Pin,Peak_Height,Offline,raw_Spin_Axis,raw_Carry_Game,raw_Carry_LM,Club,Club_Speed,Path,AoA,Face_To_Target,Face_To_Path,Lie,Loft,Dynamic_Loft,CR,HI,VI,Smash_Factor
PGX One Length,Bridgestone e6,2023-01-28 16:17:54,117.4,127.8,90.4,6349.1,992.1,-0.9,26.5,47.4,29.71 ft,26.0,5.5,9.0,117.4,0.0,I7,75.6,-10.5,0.0,0.5,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Bridgestone e6,2023-01-28 16:17:54,117.3,125.8,91.1,6876.1,383.1,-2.1,27.9,49.7,28.56 ft,28.5,-1.7,3.2,117.1,0.0,I7,77.8,-5.7,0.0,-1.7,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Bridgestone e6,2023-01-28 16:17:54,112.3,119.6,88.3,7862.0,-499.2,-8.5,25.1,46.1,27.24 yds,23.8,-19.5,-3.6,112.1,0.0,I7,78.0,-3.9,0.0,-9.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One Iron,Bridgestone Lady,2023-01-28 14:59:17,112.7,119.3,89.4,7921.6,1071.7,3.8,28.2,49.8,22.51 yds,27.8,13.9,7.8,112.7,0.0,I7,80.9,-5.8,0.0,5.6,-11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One Iron,Bridgestone Lady,2023-01-28 14:59:17,104.5,114.7,82.5,5746.2,615.7,-1.8,26.4,44.5,20.49 yds,21.0,0.6,6.2,104.4,0.0,I7,75.6,-7.7,0.0,-1.0,-6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One Iron,Bridgestone Lady,2023-01-28 14:59:17,122.7,128.8,96.6,8370.8,869.4,3.6,28.1,52.4,16.17 yds,32.8,13.6,6.0,122.7,0.0,I7,80.5,-4.3,0.0,5.0,-9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One Iron,Bridgestone Lady,2023-01-28 14:59:17,110.1,116.6,87.1,8096.2,-1101.2,-6.9,24.5,45.4,29.05 yds,22.4,-19.2,-7.8,110.0,0.0,I7,75.5,3.7,0.0,-9.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One Iron,Bridgestone Lady,2023-01-28 14:59:17,113.8,119.3,90.0,8471.1,31.4,-2.2,26.3,49.1,16.58 yds,26.3,-4.2,0.2,113.8,0.0,I7,75.3,-2.5,0.0,-2.3,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One Iron,Bridgestone Lady,2023-01-28 14:59:17,104.1,112.6,83.0,7010.2,521.6,-2.5,24.7,43.1,22.61 yds,20.1,-1.7,4.3,104.0,0.0,I7,80.4,-7.2,0.0,-1.9,-5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One Iron,Bridgestone Lady,2023-01-28 14:59:17,137.0,143.4,103.0,6870.3,377.7,-2.5,25.9,51.3,25.7 ft,34.3,-2.3,3.2,137.0,0.0,I7,80.0,-5.9,0.0,-2.1,-3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One Iron,Bridgestone Lady,2023-01-28 14:59:17,106.5,111.3,85.8,9256.8,168.9,-3.4,26.0,47.6,24.7 yds,23.6,-5.5,1.0,106.3,0.0,I7,79.0,-5.0,0.0,-3.4,-1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One Iron,Bridgestone Lady,2023-01-28 14:59:17,125.6,129.4,98.6,8267.8,1036.6,1.4,28.1,52.8,12.78 yds,34.0,10.7,7.2,125.5,0.0,I7,81.4,-7.9,0.0,3.0,-10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One Iron,Bridgestone Lady,2023-01-28 14:59:17,68.9,81.6,65.8,5323.8,26.9,-6.8,20.7,30.5,54.95 yds,8.6,-8.1,0.3,68.6,0.0,I7,72.1,-7.1,0.0,-7.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One Iron,Bridgestone Lady,2023-01-28 14:59:17,111.4,123.7,86.3,5925.0,512.2,-0.7,24.8,43.8,11.76 yds,21.7,2.1,5.0,111.3,0.0,I7,77.9,-5.5,0.0,-0.0,-5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One Iron,Bridgestone Lady,2023-01-28 14:59:17,119.6,129.3,91.9,6073.1,1227.7,2.1,28.7,50.4,17.29 yds,29.4,14.1,11.7,119.5,0.0,I7,85.3,-8.4,0.0,3.8,-12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One Iron,Bridgestone Lady,2023-01-28 14:59:17,101.7,114.0,81.0,5636.7,170.3,-6.4,24.9,42.3,24.63 yds,18.7,-10.4,1.7,101.6,0.0,I7,79.6,-8.0,0.0,-6.6,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One Iron,Bridgestone Lady,2023-01-28 14:59:17,121.0,126.1,94.7,8216.6,282.2,-3.4,27.0,50.8,10.67 yds,30.1,-5.3,2.0,120.8,0.0,I7,79.1,-6.0,0.0,-3.2,-2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,102.1,115.5,81.5,5643.2,-133.3,-4.7,22.9,39.1,22.61 yds,17.1,-9.1,-1.4,102.0,0.0,I7,69.5,-3.3,0.0,-5.2,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,127.9,136.9,95.7,6103.6,617.0,1.8,23.8,46.8,10.49 yds,26.3,9.4,5.8,127.8,0.0,I7,74.6,-4.2,0.0,2.8,-7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,119.9,129.6,90.6,5507.0,835.3,-0.4,24.7,45.4,27.51 ft,24.0,6.1,8.7,119.8,0.0,I7,73.8,-8.7,0.0,0.9,-9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,124.5,132.2,94.7,6802.1,673.8,3.4,24.7,47.7,14.17 yds,27.0,12.6,5.7,124.4,0.0,I7,75.7,-3.1,0.0,4.6,-7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,113.4,124.1,87.4,5822.1,-572.6,-1.5,26.8,47.1,13.93 yds,24.6,-7.1,-5.6,113.3,0.0,I7,66.4,4.8,0.0,-2.6,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,110.6,123.0,85.8,5786.9,436.3,-1.2,25.1,44.0,12.26 yds,21.7,0.8,4.3,110.4,0.0,I7,75.9,-5.4,0.0,-0.6,-4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,124.2,132.7,94.3,6796.5,601.4,-1.3,22.4,45.2,9.76 ft,24.0,1.7,5.1,124.1,0.0,I7,78.1,-7.0,0.0,-0.6,-6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,114.7,125.7,88.5,6397.6,-29.7,-2.0,23.3,43.8,10.6 yds,21.6,-4.2,-0.3,114.5,0.0,I7,77.6,-1.7,0.0,-2.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,94.0,103.9,76.7,5552.9,709.5,0.2,30.0,46.6,31.74 yds,20.9,4.1,7.3,93.9,0.0,I7,76.3,-6.6,0.0,1.3,-7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,109.1,122.8,84.9,5459.5,221.2,-3.9,23.0,41.3,14.04 yds,19.0,-5.8,2.3,108.9,0.0,I7,77.5,-5.9,0.0,-3.8,-2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,129.8,136.5,98.7,7199.3,427.5,-2.1,25.8,49.9,5.23 ft,31.1,-1.1,3.4,129.7,0.0,I7,77.8,-6.1,0.0,-1.6,-4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,122.6,128.2,94.8,7597.0,850.3,1.9,26.4,49.5,13.11 yds,29.3,10.1,6.4,122.6,0.0,I7,76.9,-6.2,0.0,3.3,-9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,88.8,100.0,76.3,6568.0,-483.8,-13.5,19.5,33.3,46.2 yds,11.9,-22.5,-4.2,88.6,0.0,I7,75.4,-8.8,0.0,-15.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,133.5,141.7,99.3,6483.2,342.6,-2.6,22.5,46.6,21.34 ft,27.2,-2.9,3.0,133.4,0.0,I7,78.1,-5.8,0.0,-2.2,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,60.6,85.8,93.7,1614.6,807.3,8.4,5.5,6.8,54.38 yds,1.6,11.6,30.0,59.2,0.0,I7,77.8,-13.0,0.0,12.2,-25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,126.0,132.5,97.2,7639.6,897.7,-1.4,26.6,50.7,14.81 ft,31.1,3.6,6.7,125.9,0.0,I7,78.2,-9.8,0.0,-0.2,-9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,124.0,130.9,94.6,7093.9,159.9,-4.7,24.0,46.7,10.45 yds,26.3,-8.9,1.3,123.9,0.0,I7,77.7,-6.2,0.0,-4.8,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,109.0,117.0,86.0,7263.9,-133.1,-7.9,26.0,46.8,25.73 yds,23.2,-15.7,-1.1,109.1,0.0,I7,78.7,-6.6,0.0,-8.6,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,107.7,115.6,85.2,7328.7,327.9,-4.4,25.8,46.0,20.94 yds,22.6,-6.4,2.6,107.6,0.0,I7,76.0,-7.6,0.0,-4.2,-3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,109.4,122.7,85.5,5030.7,-735.6,-10.7,21.1,38.2,33.15 yds,17.0,-25.4,-8.4,109.2,0.0,I7,77.7,-3.7,0.0,-12.4,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,117.4,127.8,90.4,6349.1,992.1,-0.9,26.5,47.4,29.71 ft,26.0,5.5,9.0,117.4,0.0,I7,75.6,-10.5,0.0,0.5,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,117.3,125.8,91.1,6876.1,383.1,-2.1,27.9,49.7,28.56 ft,28.5,-1.7,3.2,117.1,0.0,I7,77.8,-5.7,0.0,-1.7,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,112.3,119.6,88.3,7862.0,-499.2,-8.5,25.1,46.1,27.24 yds,23.8,-19.5,-3.6,112.1,0.0,I7,78.0,-3.9,0.0,-9.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,102.1,111.5,82.2,7142.9,-708.3,-3.0,22.7,40.6,26.13 yds,17.6,-8.9,-5.7,101.9,0.0,I7,71.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,89.3,96.7,77.8,8622.0,2183.9,11.1,18.3,33.1,49.96 yds,11.7,24.2,14.7,89.2,0.0,I7,86.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,99.4,105.7,81.1,7762.1,-1448.7,-4.3,22.2,40.0,34.11 yds,16.7,-14.0,-10.8,99.3,0.0,I7,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,104.5,117.4,82.6,4689.1,-1164.0,-8.2,22.7,38.6,33.82 yds,16.9,-22.9,-14.4,104.3,0.0,I7,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,84.4,90.8,75.2,9483.9,-1532.2,13.1,18.1,32.7,48.38 yds,10.8,14.9,-9.3,84.3,0.0,I7,66.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,130.9,136.3,99.4,6880.4,-266.8,-4.2,26.9,51.5,12.41 yds,33.1,-11.9,-2.2,130.9,0.0,I7,75.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,109.7,122.9,85.3,5101.3,-1267.7,-7.8,23.4,40.2,31.79 yds,19.1,-24.0,-14.4,109.5,0.0,I7,71.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,122.2,134.4,91.2,5005.4,-759.4,-6.9,25.2,45.0,24.47 yds,24.8,-21.6,-8.7,122.1,0.0,I7,73.3,3.1,0.0,-8.9,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,91.6,99.5,76.2,6905.5,-383.5,-8.7,31.6,48.8,40.87 yds,22.3,-15.6,-3.2,91.5,0.0,I7,75.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,137.1,147.3,98.4,4645.6,-64.8,-4.7,22.8,44.6,17.33 yds,26.4,-11.9,-0.8,137.0,0.0,I7,76.1,-3.8,0.0,-5.1,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGX One Length,Titlelist ProV1x RCT,2023-01-28 16:29:35,95.7,111.3,79.9,4201.6,-13.2,-3.9,18.3,30.8,25.34 yds,11.6,-6.6,-0.2,95.4,0.0,I7,75.5,-3.8,0.0,-4.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
