+----------------+-------+----------------------+-----------+-----------+------------+----------------+------------+----------------+------------+----------------+
|      Mfg       |  Club |         Ball         | Avg Carry | Max Carry | Total Dist | Max Total Dist | Club Speed | Max Club Speed | Ball Speed | Max Ball Speed |
| PGX One Length |   I7  | Titlelist ProV1x RCT |   113.0   |   143.0   |   124.0    |     150.0      |    76.0    |      87.0      |    89.0    |     106.0      |
| PGX One Length |   I7  |   Wilson Duo Soft    |   110.0   |   137.0   |   120.0    |     143.0      |    76.0    |      79.0      |    89.0    |     103.0      |
| PGX One Length |   I7  |  Callaway SuperSoft  |   108.0   |   132.0   |   119.0    |     140.0      |    75.0    |      78.0      |    88.0    |      99.0      |
| PGX One Length |   I7  |  Callaway Hex Soft   |   104.0   |   144.0   |   112.0    |     152.0      |    77.0    |      83.0      |    85.0    |     107.0      |
| PGX One Length |   I7  |      Vice Tour       |   104.0   |   144.0   |   113.0    |     152.0      |    78.0    |      81.0      |    86.0    |     106.0      |
| PGX One Length |   I7  |   Bridgestone e12    |   102.0   |   125.0   |   110.0    |     132.0      |    77.0    |      79.0      |    83.0    |      96.0      |
| PGX One Length |   I6  |  Callaway SuperSoft  |   166.0   |   170.0   |   176.0    |     180.0      |    83.0    |      85.0      |   116.0    |     118.0      |
| PGX One Length |   I6  |       Vice Pro       |   157.0   |   163.0   |   168.0    |     172.0      |    79.0    |      81.0      |   110.0    |     114.0      |
| PGX One Length |   I6  | Titlelist ProV1x RCT |   124.0   |   151.0   |   137.0    |     161.0      |    80.0    |      84.0      |    98.0    |     110.0      |
| PGX One Length |   I5  |  Callaway Hex Soft   |   138.0   |   177.0   |   152.0    |     192.0      |    80.0    |      86.0      |   102.0    |     118.0      |
| PGX One Length |   I5  |   Maxifli SoftFli    |   132.0   |   172.0   |   146.0    |     186.0      |    79.0    |      86.0      |    99.0    |     116.0      |
| PGX One Length |   I5  |  Callaway Hex Tour   |   120.0   |   163.0   |   135.0    |     176.0      |    78.0    |      84.0      |    94.0    |     113.0      |
| PGX One Length |   I4  |  Callaway Hex Soft   |   162.0   |   177.0   |   176.0    |     195.0      |    84.0    |      86.0      |   113.0    |     118.0      |
| PGX One Length |   I4  |       Vice Pro       |   158.0   |   179.0   |   173.0    |     191.0      |    82.0    |      86.0      |   113.0    |     120.0      |
| PGX One Length |   I4  | Titlelist ProV1 RCT  |   157.0   |   168.0   |   171.0    |     186.0      |    83.0    |      85.0      |   110.0    |     114.0      |
| PGX One Length |   I4  |  Titlelist TruFeel   |   146.0   |   173.0   |   158.0    |     185.0      |    82.0    |      84.0      |   106.0    |     119.0      |
| PGX One Length |   I4  |   Maxifli SoftFli    |   145.0   |   168.0   |   160.0    |     182.0      |    84.0    |      86.0      |   108.0    |     115.0      |
| PGX One Length |   I3  |   Maxifli SoftFli    |   127.0   |   170.0   |   142.0    |     182.0      |    81.0    |      88.0      |   100.0    |     117.0      |
| PGX One Length |   I3  |    Callaway Reva     |   108.0   |   175.0   |   124.0    |     189.0      |    80.0    |      86.0      |    94.0    |     117.0      |
| PGX One Length |   GW  |    Bridgestone e6    |    87.0   |    91.0   |    91.0    |      98.0      |    77.0    |      81.0      |    75.0    |      79.0      |
| PGX One Length |   GW  |   Maxifli SoftFli    |    86.0   |   108.0   |    91.0    |     113.0      |    75.0    |      79.0      |    75.0    |      87.0      |
+----------------+-------+----------------------+-----------+-----------+------------+----------------+------------+----------------+------------+----------------+
